,YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR
0,2023,9,1,0,24.12,91.19,0.0
1,2023,9,1,1,23.76,92.44,0.0
2,2023,9,1,2,23.42,93.38,0.0
3,2023,9,1,3,23.12,94.25,0.0
4,2023,9,1,4,22.85,95.0,0.0
5,2023,9,1,5,22.77,95.0,0.0
6,2023,9,1,6,24.44,86.62,0.0
7,2023,9,1,7,27.05,73.94,0.0
8,2023,9,1,8,28.97,65.06,0.0
9,2023,9,1,9,30.41,59.5,0.0
10,2023,9,1,10,31.71,55.0,0.0
11,2023,9,1,11,32.72,51.56,0.0
12,2023,9,1,12,33.36,49.25,0.0
13,2023,9,1,13,33.64,47.81,0.0
14,2023,9,1,14,33.46,47.75,0.0
15,2023,9,1,15,32.9,48.94,0.0
16,2023,9,1,16,31.79,53.06,0.0
17,2023,9,1,17,29.8,65.5,0.0
18,2023,9,1,18,28.09,74.31,0.0
19,2023,9,1,19,27.46,78.0,0.0
20,2023,9,1,20,26.83,82.0,0.0
21,2023,9,1,21,26.32,85.06,0.0
22,2023,9,1,22,25.88,87.69,0.0
23,2023,9,1,23,25.48,89.81,0.0
24,2023,9,2,0,25.2,91.19,0.0
25,2023,9,2,1,24.98,92.12,0.0
26,2023,9,2,2,24.84,92.19,0.0
27,2023,9,2,3,24.8,91.44,0.0
28,2023,9,2,4,24.75,91.25,0.0
29,2023,9,2,5,24.74,91.44,0.0
30,2023,9,2,6,25.66,86.25,0.0
31,2023,9,2,7,27.23,75.94,0.0
32,2023,9,2,8,28.28,69.81,1.29
33,2023,9,2,9,28.62,68.44,1.54
34,2023,9,2,10,28.73,68.25,1.75
35,2023,9,2,11,28.65,68.88,2.02
36,2023,9,2,12,28.53,69.75,2.45
37,2023,9,2,13,28.36,70.75,1.96
38,2023,9,2,14,28.18,71.69,1.06
39,2023,9,2,15,27.96,73.62,0.64
40,2023,9,2,16,27.64,77.0,0.42
41,2023,9,2,17,26.94,82.88,0.27
42,2023,9,2,18,26.27,86.94,0.15
43,2023,9,2,19,25.95,88.12,0.08
44,2023,9,2,20,25.63,88.88,0.07
45,2023,9,2,21,25.21,90.62,0.11
46,2023,9,2,22,24.8,92.12,0.22
47,2023,9,2,23,24.44,92.94,0.33
48,2023,9,3,0,24.19,93.0,0.42
49,2023,9,3,1,23.96,93.0,0.58
50,2023,9,3,2,23.79,93.25,0.8
51,2023,9,3,3,23.61,94.19,1.21
52,2023,9,3,4,23.47,94.88,1.49
53,2023,9,3,5,23.28,95.06,1.61
54,2023,9,3,6,23.26,93.81,1.34
55,2023,9,3,7,23.44,90.69,0.97
56,2023,9,3,8,24.05,85.81,0.15
57,2023,9,3,9,25.24,80.06,0.05
58,2023,9,3,10,26.67,74.88,0.02
59,2023,9,3,11,27.94,70.94,0.04
60,2023,9,3,12,28.81,68.12,0.07
61,2023,9,3,13,29.18,66.44,0.14
62,2023,9,3,14,28.98,67.06,0.17
63,2023,9,3,15,28.4,70.38,0.18
64,2023,9,3,16,27.51,76.38,0.2
65,2023,9,3,17,26.25,85.0,0.2
66,2023,9,3,18,25.28,89.94,0.15
67,2023,9,3,19,24.87,91.31,0.14
68,2023,9,3,20,24.53,92.94,0.16
69,2023,9,3,21,24.28,94.06,0.29
70,2023,9,3,22,24.05,94.62,0.43
71,2023,9,3,23,23.75,95.19,0.49
72,2023,9,4,0,23.44,95.56,0.41
73,2023,9,4,1,23.15,95.62,0.35
74,2023,9,4,2,22.88,95.81,0.25
75,2023,9,4,3,22.76,95.69,0.2
76,2023,9,4,4,22.74,95.5,0.23
77,2023,9,4,5,22.83,95.38,0.29
78,2023,9,4,6,23.53,93.56,0.34
79,2023,9,4,7,24.64,90.5,0.33
80,2023,9,4,8,25.88,86.06,1.15
81,2023,9,4,9,26.78,82.12,1.03
82,2023,9,4,10,27.35,79.69,0.99
83,2023,9,4,11,27.79,77.69,1.17
84,2023,9,4,12,28.06,76.75,1.47
85,2023,9,4,13,28.11,77.19,1.6
86,2023,9,4,14,27.9,79.12,1.54
87,2023,9,4,15,27.43,82.38,1.5
88,2023,9,4,16,26.64,87.75,1.52
89,2023,9,4,17,25.69,92.25,1.4
90,2023,9,4,18,25.0,94.31,1.29
91,2023,9,4,19,24.76,94.12,1.27
92,2023,9,4,20,24.57,94.56,1.34
93,2023,9,4,21,24.4,95.06,1.42
94,2023,9,4,22,24.26,95.19,1.25
95,2023,9,4,23,24.12,95.25,1.2
96,2023,9,5,0,23.95,95.31,1.33
97,2023,9,5,1,23.79,95.31,1.59
98,2023,9,5,2,23.62,95.38,1.74
99,2023,9,5,3,23.48,95.12,1.72
100,2023,9,5,4,23.46,94.31,1.63
101,2023,9,5,5,23.34,94.31,1.79
102,2023,9,5,6,23.58,93.56,2.07
103,2023,9,5,7,24.22,91.88,2.6
104,2023,9,5,8,25.08,88.69,0.73
105,2023,9,5,9,25.87,85.25,0.69
106,2023,9,5,10,26.23,83.62,0.62
107,2023,9,5,11,26.77,81.75,0.62
108,2023,9,5,12,27.26,79.69,0.68
109,2023,9,5,13,27.45,79.19,0.83
110,2023,9,5,14,27.34,80.25,1.0
111,2023,9,5,15,27.01,83.38,1.1
112,2023,9,5,16,26.41,88.38,1.06
113,2023,9,5,17,25.42,92.62,0.98
114,2023,9,5,18,24.79,93.5,0.87
115,2023,9,5,19,24.58,93.25,0.79
116,2023,9,5,20,24.41,93.38,0.81
117,2023,9,5,21,24.28,93.38,0.81
118,2023,9,5,22,24.16,93.31,0.83
119,2023,9,5,23,24.05,93.25,0.87
120,2023,9,6,0,23.82,94.0,0.82
121,2023,9,6,1,23.59,94.5,0.72
122,2023,9,6,2,23.33,94.75,0.57
123,2023,9,6,3,23.03,94.94,0.42
124,2023,9,6,4,22.75,95.12,0.31
125,2023,9,6,5,22.64,95.0,0.23
126,2023,9,6,6,22.92,94.38,0.16
127,2023,9,6,7,23.73,92.06,0.11
128,2023,9,6,8,24.87,88.19,0.13
129,2023,9,6,9,26.12,82.75,0.1
130,2023,9,6,10,27.03,78.81,0.19
131,2023,9,6,11,27.57,76.44,0.4
132,2023,9,6,12,27.86,75.19,0.65
133,2023,9,6,13,27.82,75.56,0.86
134,2023,9,6,14,27.5,77.56,1.02
135,2023,9,6,15,27.01,81.0,1.16
136,2023,9,6,16,26.29,86.5,1.22
137,2023,9,6,17,25.32,91.88,1.13
138,2023,9,6,18,24.71,92.88,0.93
139,2023,9,6,19,24.48,92.81,0.71
140,2023,9,6,20,24.27,92.5,0.49
141,2023,9,6,21,24.03,92.25,0.46
142,2023,9,6,22,23.73,92.44,0.61
143,2023,9,6,23,23.5,92.0,0.51
144,2023,9,7,0,23.15,92.12,0.34
145,2023,9,7,1,22.65,92.94,0.23
146,2023,9,7,2,22.17,94.12,0.18
147,2023,9,7,3,21.91,95.0,0.27
148,2023,9,7,4,21.9,95.0,0.38
149,2023,9,7,5,22.01,94.81,0.21
150,2023,9,7,6,22.43,94.38,0.06
151,2023,9,7,7,23.79,90.12,0.01
152,2023,9,7,8,25.88,80.69,0.0
153,2023,9,7,9,27.94,69.12,0.0
154,2023,9,7,10,29.05,60.44,0.0
155,2023,9,7,11,29.46,57.0,0.0
156,2023,9,7,12,29.48,56.19,0.01
157,2023,9,7,13,29.08,56.81,0.02
158,2023,9,7,14,28.37,58.44,0.02
159,2023,9,7,15,27.24,61.75,0.02
160,2023,9,7,16,25.83,66.75,0.01
161,2023,9,7,17,24.12,73.44,0.02
162,2023,9,7,18,22.83,78.5,0.03
163,2023,9,7,19,22.08,82.38,0.03
164,2023,9,7,20,21.82,84.81,0.02
165,2023,9,7,21,21.95,86.44,0.01
166,2023,9,7,22,22.09,88.44,0.02
167,2023,9,7,23,22.22,90.19,0.03
168,2023,9,8,0,22.27,91.38,0.03
169,2023,9,8,1,22.16,91.88,0.02
170,2023,9,8,2,21.92,91.69,0.02
171,2023,9,8,3,21.71,91.56,0.02
172,2023,9,8,4,21.6,91.81,0.02
173,2023,9,8,5,21.63,92.19,0.02
174,2023,9,8,6,22.26,90.81,0.01
175,2023,9,8,7,23.66,85.69,0.01
176,2023,9,8,8,25.42,76.06,0.0
177,2023,9,8,9,26.98,68.31,0.01
178,2023,9,8,10,28.21,64.31,0.02
179,2023,9,8,11,28.84,63.0,0.02
180,2023,9,8,12,28.76,63.94,0.02
181,2023,9,8,13,28.46,65.56,0.02
182,2023,9,8,14,28.19,67.38,0.02
183,2023,9,8,15,28.0,69.25,0.03
184,2023,9,8,16,27.55,73.75,0.05
185,2023,9,8,17,26.28,82.94,0.07
186,2023,9,8,18,25.25,87.12,0.09
187,2023,9,8,19,25.01,88.56,0.08
188,2023,9,8,20,24.73,90.12,0.05
189,2023,9,8,21,24.44,91.75,0.02
190,2023,9,8,22,24.12,93.56,0.01
191,2023,9,8,23,23.79,94.75,0.0
192,2023,9,9,0,23.48,94.94,0.0
193,2023,9,9,1,23.13,94.62,0.0
194,2023,9,9,2,22.74,94.56,0.0
195,2023,9,9,3,22.44,94.5,0.0
196,2023,9,9,4,22.26,94.44,0.0
197,2023,9,9,5,22.15,94.38,0.0
198,2023,9,9,6,22.72,92.12,0.0
199,2023,9,9,7,24.37,84.69,0.0
200,2023,9,9,8,26.53,76.12,0.02
201,2023,9,9,9,28.39,69.94,0.04
202,2023,9,9,10,29.76,65.81,0.13
203,2023,9,9,11,30.66,63.38,0.23
204,2023,9,9,12,31.17,62.25,0.28
205,2023,9,9,13,31.23,62.75,0.35
206,2023,9,9,14,30.94,64.69,0.35
207,2023,9,9,15,30.28,68.38,0.36
208,2023,9,9,16,29.28,75.06,0.38
209,2023,9,9,17,27.65,85.38,0.39
210,2023,9,9,18,26.5,89.81,0.4
211,2023,9,9,19,26.04,91.25,0.37
212,2023,9,9,20,25.66,92.25,0.35
213,2023,9,9,21,25.35,92.88,0.39
214,2023,9,9,22,25.13,93.44,0.38
215,2023,9,9,23,24.88,94.5,0.33
216,2023,9,10,0,24.67,95.44,0.23
217,2023,9,10,1,24.51,95.75,0.14
218,2023,9,10,2,24.33,95.62,0.07
219,2023,9,10,3,24.11,95.5,0.03
220,2023,9,10,4,23.84,95.56,0.01
221,2023,9,10,5,23.57,95.69,0.01
222,2023,9,10,6,23.85,94.19,0.01
223,2023,9,10,7,24.71,89.88,0.0
224,2023,9,10,8,26.18,81.38,0.03
225,2023,9,10,9,27.94,73.0,0.1
226,2023,9,10,10,29.22,67.81,0.23
227,2023,9,10,11,29.86,65.62,0.45
228,2023,9,10,12,29.94,65.44,0.6
229,2023,9,10,13,29.69,66.75,0.79
230,2023,9,10,14,29.28,69.38,0.9
231,2023,9,10,15,28.72,74.12,1.01
232,2023,9,10,16,27.76,81.62,1.15
233,2023,9,10,17,26.55,89.0,1.15
234,2023,9,10,18,25.69,92.38,1.24
235,2023,9,10,19,25.35,93.38,1.17
236,2023,9,10,20,25.08,94.06,1.19
237,2023,9,10,21,24.85,94.5,1.22
238,2023,9,10,22,24.62,94.94,1.23
239,2023,9,10,23,24.42,95.12,1.21
240,2023,9,11,0,24.19,95.38,1.16
241,2023,9,11,1,23.96,95.38,1.06
242,2023,9,11,2,23.72,95.44,0.99
243,2023,9,11,3,23.46,95.56,0.76
244,2023,9,11,4,23.25,95.62,0.5
245,2023,9,11,5,23.08,95.69,0.22
